location,region,date,slice_conc,louse_sex,louse_stage,temp_0_hrs,temp_6_hrs,temp_12_hrs,temp_18_hrs,temp_24_hrs,dead,moribund,live,avg_temp,dead_and_moribund,comments
Burdwoods,Broughton,June 11 2012,0,f,p2,8,13,9,8,10,0,0,1,9.6,0,
Burdwoods,Broughton,June 11 2012,0,m,p2,8,13,9,8,10,0,0,1,9.6,0,
Burdwoods,Broughton,June 11 2012,0,m,p2,8,13,9,8,10,0,0,1,9.6,0,
Burdwoods,Broughton,June 11 2012,0,m,p2,8,13,9,8,10,0,0,1,9.6,0,
Burdwoods,Broughton,June 11 2012,0,m,p1,8,13,9,8,10,0,0,1,9.6,0,
Burdwoods,Broughton,June 11 2012,0,m,p1,8,13,9,8,10,0,0,1,9.6,0,
Burdwoods,Broughton,June 11 2012,0,m,p1,8,13,9,8,10,0,0,1,9.6,0,
Burdwoods,Broughton,June 11 2012,30,f,p2,8,13,9,8,10,0,1,0,9.6,1,
Burdwoods,Broughton,June 11 2012,30,m,p2,8,13,9,8,10,0,0,1,9.6,0,
Burddwoods,Broughton,June 11 2012,30,m,p2,8,13,9,8,10,0,1,0,9.6,1,
Burdwoods,Broughton,June 11 2012,30,m,p2,8,13,9,8,10,1,0,0,9.6,1,
Burdwoods,Broughton,June 11 2012,30,m,p1,8,13,9,8,10,1,0,0,9.6,1,
Burdwoods,Broughton,June 11 2012,30,m,p1,8,13,9,8,10,1,0,0,9.6,1,
Burdwoods,Broughton,June 11 2012,30,m,p1,8,13,9,8,10,1,0,0,9.6,1,
Burdwoods,Broughton,June 11 2012,90,f,p2,8,13,9,8,10,1,0,0,9.6,1,
Burdwoods,Broughton,June 11 2012,90,m,p2,8,13,9,8,10,0,0,1,9.6,0,
Burdwoods,Broughton,June 11 2012,90,m,p2,8,13,9,8,10,0,0,1,9.6,0,
Burdwoods,Broughton,June 11 2012,90,m,p2,8,13,9,8,10,0,0,1,9.6,0,
Burdwoods,Broughton,June 11 2012,90,m,p1,8,13,9,8,10,0,1,0,9.6,1,
Burdwoods,Broughton,June 11 2012,90,m,p1,8,13,9,8,10,0,1,0,9.6,1,
Burdwoods,Broughton,June 11 2012,90,m,p1,8,13,9,8,10,0,1,0,9.6,1,
Wicklow,Broughton,June 12 2012,0,m,p2,11,8,7,8,8,0,0,1,8.4,0,
Wicklow,Broughton,June 12 2012,0,m,p2,11,8,7,8,8,0,0,1,8.4,0,
Wicklow,Broughton,June 12 2012,0,f,p2,11,8,7,8,8,0,0,1,8.4,0,
Wicklow,Broughton,June 12 2012,0,f,p1,11,8,7,8,8,0,0,1,8.4,0,
Wicklow,Broughton,June 12 2012,0,f,p1,11,8,7,8,8,0,0,1,8.4,0,
Wicklow,Broughton,June 12 2012,0,m,p1,11,8,7,8,8,0,0,1,8.4,0,
Wicklow,Broughton,June 12 2012,30,m,p2,11,8,7,8,8,0,0,1,8.4,0,
Wicklow,Broughton,June 12 2012,30,m,p2,11,8,7,8,8,0,1,0,8.4,1,
Wicklow,Broughton,June 12 2012,30,f,p2,11,8,7,8,8,1,0,0,8.4,1,
Wicklow,Broughton,June 12 2012,30,f,p1,11,8,7,8,8,0,1,0,8.4,1,
Wicklow,Broughton,June 12 2012,30,f,p1,11,8,7,8,8,0,1,0,8.4,1,
Wicklow,Broughton,June 12 2012,30,m,p1,11,8,7,8,8,0,1,0,8.4,1,
Wicklow,Broughton,June 12 2012,90,m,p2,11,8,7,8,8,0,0,1,8.4,0,
Wicklow,Broughton,June 12 2012,90,m,p2,11,8,7,8,8,1,0,0,8.4,1,
Wicklow,Broughton,June 12 2012,90,f,p2,11,8,7,8,8,0,1,0,8.4,1,
Wicklow,Broughton,June 12 2012,90,f,p1,11,8,7,8,8,0,1,0,8.4,1,
Wicklow,Broughton,June 12 2012,90,f,p1,11,8,7,8,8,0,1,0,8.4,1,
Wicklow,Broughton,June 12 2012,90,m,p1,11,8,7,8,8,0,0,1,8.4,0,
Burdwoods,Broughton,June 20 2012,0,m,p2,12,8,7,8,9,0,0,1,8.8,0,
Burdwoods,Broughton,June 20 2012,0,m,p2,12,8,7,8,9,0,0,1,8.8,0,
Burdwoods,Broughton,June 20 2012,0,m,p2,12,8,7,8,9,0,0,1,8.8,0,
Burdwoods,Broughton,June 20 2012,0,m,p1,12,8,7,8,9,0,0,1,8.8,0,
Burdwoods,Broughton,June 20 2012,0,m,p1,12,8,7,8,9,0,0,1,8.8,0,
Burdwoods,Broughton,June 20 2012,0,m,p1,12,8,7,8,9,0,0,1,8.8,0,
Burdwoods,Broughton,June 20 2012,0,f,p2,12,8,7,8,9,0,0,1,8.8,0,
Burdwoods,Broughton,June 20 2012,0,f,p1,12,8,7,8,9,0,0,1,8.8,0,
Burdwoods,Broughton,June 20 2012,0,f,p1,12,8,7,8,9,0,0,1,8.8,0,
Burdwoods,Broughton,June 20 2012,30,m,p2,12,8,8,8,9,0,0,1,9,0,
Burdwoods,Broughton,June 20 2012,30,m,p2,12,8,8,8,9,0,0,1,9,0,
Burdwoods,Broughton,June 20 2012,30,m,p2,12,8,8,8,9,0,0,1,9,0,
Burdwoods,Broughton,June 20 2012,30,m,p1,12,8,8,8,9,0,0,1,9,0,
Burdwoods,Broughton,June 20 2012,30,m,p1,12,8,8,8,9,0,1,0,9,1,
Burdwoods,Broughton,June 20 2012,30,m,p1,12,8,8,8,9,0,0,1,9,0,
Burdwoods,Broughton,June 20 2012,30,f,p2,122,8,8,8,9,0,0,1,9,0,
Burdwoods,Broughton,June 20 2012,30,f,p1,12,8,8,8,9,0,1,0,9,1,
Burdwoods,Broughton,June 20 2012,30,f,p1,12,8,8,8,9,0,1,0,9,1,
Burdwoods,Broughton,June 20 2012,90,m,p2,12,8,9,8,9,0,1,0,9.2,1,
